Designator,Mid X,Mid Y,Rotation,Layer
C1,166.2863,-82.5489,180.0,top
C2,154.0231,-79.5009,180.0,top
C5,155.6843,-85.4445,0.0,top
C6,167.2007,-105.0025,180.0,top
C7,167.2311,-110.7937,0.0,top
D1,160.5888,-48.2589,180.0,top
D10,157.6655,-62.0765,0.0,top
D11,146.2355,-47.9033,0.0,top
D12,153.9571,-76.1481,180.0,top
D13,161.8819,-50.7989,0.0,top
D14,162.9995,-59.0285,0.0,top
D15,166.0244,-48.3097,180.0,top
D16,163.9647,-65.2769,0.0,top
D17,205.7908,-114.85737,270.0,top
D18,205.6892,-77.974428,270.0,top
D19,205.7908,-102.563056,270.0,top
D2,160.2563,-57.0981,180.0,top
D20,205.7908,-65.680114,270.0,top
D21,205.7908,-90.268742,270.0,top
D22,205.7908,-53.3858,270.0,top
D23,205.7908,-127.151684,270.0,top
D24,205.7908,-139.446,270.0,top
D25,145.7044,-130.7073,180.0,top
D26,145.6767,-141.2229,0.0,top
D27,148.5446,-127.2021,180.0,top
D28,148.7755,-135.9397,0.0,top
D29,149.7407,-138.0733,0.0,top
D3,151.7396,-48.7161,0.0,top
D30,149.5144,-130.7073,180.0,top
D31,158.7831,-130.8597,0.0,top
D32,160.2563,-128.5737,0.0,top
D33,153.3475,-133.9585,0.0,top
D34,154.9731,-130.5041,0.0,top
D35,162.7963,-126.6433,180.0,top
D36,161.8311,-132.9933,180.0,top
D37,157.6147,-135.8889,180.0,top
D38,156.0907,-138.1241,180.0,top
D39,165.3871,-138.2257,180.0,top
D4,158.1227,-70.2553,180.0,top
D40,165.3871,-134.9237,0.0,top
D41,211.3788,-53.3858,270.0,top
D42,211.3788,-65.680114,270.0,top
D43,211.3788,-77.974428,270.0,top
D44,211.3788,-90.268742,270.0,top
D45,211.3788,-102.563056,270.0,top
D46,211.3788,-114.85737,270.0,top
D47,211.3788,-127.151684,270.0,top
D48,211.3788,-139.446,270.0,top
D5,156.8019,-50.5957,0.0,top
D6,159.8499,-67.1565,180.0,top
D7,149.2096,-51.0529,0.0,top
D8,152.7379,-67.9185,0.0,top
D9,154.2288,-53.1865,0.0,top
J1,147.2515,-44.6013,90.0,top
J16,140.97,-111.7854,180.0,bottom
J17,145.796,-111.7854,180.0,bottom
J18,150.5204,-111.7854,180.0,bottom
J2,146.6419,-145.9981,90.0,top
J3,197.4965,-44.6013,270.0,bottom
J4,196.8866,-145.9984,270.0,bottom
J5,173.468016,-56.0832,180.0,bottom
J6,141.7143,-67.7153,0.0,bottom
J7,141.5796,-57.7954,0.0,bottom
JACK1,190.1716,-52.069988,90.0,top
JACK10,226.9676,-64.421397,270.0,top
JACK11,226.9676,-76.772806,270.0,top
JACK12,226.9676,-89.125215,270.0,top
JACK13,226.9676,-101.476624,270.0,top
JACK14,226.9676,-113.828033,270.0,top
JACK15,226.9676,-126.179442,270.0,top
JACK16,226.951267,-138.494851,270.0,top
JACK2,190.171933,-64.421645,90.0,top
JACK3,190.171933,-76.773302,90.0,top
JACK4,190.171933,-89.124959,90.0,top
JACK5,190.171933,-101.476616,90.0,top
JACK6,190.171933,-113.828273,90.0,top
JACK7,190.171933,-126.17993,90.0,top
JACK8,190.1556,-138.494851,90.0,top
JACK9,226.9124,-52.069988,270.0,top
R1,205.5387,-112.3696,0.0,top
R10,205.232,-85.5472,0.0,top
R11,206.3496,-48.8188,90.0,top
R12,204.2668,-48.8169,90.0,top
R13,205.6384,-124.6632,0.0,top
R14,205.6403,-122.174,0.0,top
R15,205.6911,-136.7028,0.0,top
R16,205.6911,-134.2644,0.0,top
R17,211.5293,-50.6984,180.0,top
R18,211.5293,-48.0568,180.0,top
R19,211.836,-62.8904,180.0,top
R2,205.5895,-109.6772,0.0,top
R20,211.8341,-60.5028,180.0,top
R21,211.9376,-75.5396,180.0,top
R22,211.9414,-73.0504,180.0,top
R23,211.8849,-87.9856,180.0,top
R24,211.8868,-85.3948,180.0,top
R25,211.5839,-97.9424,0.0,top
R26,211.5839,-100.4316,180.0,top
R27,211.2791,-109.6772,0.0,top
R28,211.2791,-112.3188,0.0,top
R29,211.5801,-124.3584,180.0,top
R3,205.5876,-75.3872,0.0,top
R30,211.4823,-121.8184,180.0,top
R31,211.9376,-136.652,180.0,top
R32,211.9376,-134.366,180.0,top
R4,205.5368,-73.1012,0.0,top
R5,205.1812,-100.2792,0.0,top
R6,205.1831,-97.8916,0.0,top
R7,205.232,-63.0936,0.0,top
R8,205.232,-60.8584,0.0,top
R9,205.1793,-87.8332,0.0,top
SPI Expander THRU,176.1998,-85.1154,180.0,bottom
SPI Expander to Host,143.3399,-84.6317,180.0,bottom
U1,160.4301,-79.026,90.0,top
U2,160.6921,-107.9158,270.0,top
U3,158.4361,-94.9373,270.0,top
